Designator,Footprint,Quantity,Value,LCSC Part #
D1,0603,1,Prog,C2286
D2,0603,1,Led1,C72043
D3,0603,1,Led2,C72043
D4,0603,1,Led3,C72043
D5,0603,1,Power,C72043
J1,C11050_FPC-SMD_P0.5-10P_LSXJ-H2.0-10P,1,Frontpanel,C11050
"R1, R2, R3, R4, R5",0402,5,2k2,C25879
SW1,C455282_SW-SMD_4P-L4.2-W3.3-P2.15-LS5.1,1,Prog,C455282
SW2,C455282_SW-SMD_4P-L4.2-W3.3-P2.15-LS5.1,1,Btn1,C455282
SW3,C455282_SW-SMD_4P-L4.2-W3.3-P2.15-LS5.1,1,Res,C455282
SW4,C455282_SW-SMD_4P-L4.2-W3.3-P2.15-LS5.1,1,BL,C455282
