D1:1
D2:1
D3:1
D4:1
D5:1
G***:2
J1:1
JP1:1
R1:1
R2:1
R3:1
R4:1
R5:1
SW1:1
SW2:1
SW3:1
SW4:1
e:2
mouse-bite:5
